"","X","date","date_cleaned","year","month","day","day_of_week","match_start_time","match_start_time_cleaned","match_start_hour","match_start_minute","home_team","away_team","stadium","attendance","home_team_league_rank","home_goals","away_team_league_rank","away_goals","home_possessions","away_possessions","home_shots","away_shots","home_on","away_on","home_off","away_off","home_blocked","away_blocked","home_pass","away_pass","home_chances","away_chances","home_corners","away_corners","home_offside","away_offside","home_tackles","away_tackles","home_duels","away_duels","home_saves","away_saves","home_fouls","away_fouls","home_yellow","away_yellow","home_red","away_red","links"
"222",222,"31st December 2022","2022-12-31",2022,12,31,"Sat","5:30pm","0-01-01 17:30:00",17,30,"brighton-and-hove-albion","arsenal","Amex Stadium",31647,6,2,2,4,67.8,32.2,9,14,5,7,2,3,2,4,88.3,72.6,1,2,7,4,5,0,50,47.4,60,40,3,3,7,11,3,3,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-arsenal/464806"
"223",223,"30th December 2022","2022-12-30",2022,12,30,"Fri","7:45pm","0-01-01 19:45:00",19,45,"west-ham-united","brentford","London Stadium",62467,14,0,9,2,63.1,36.9,20,9,5,6,9,2,6,1,86.5,75,0,1,8,1,0,0,41.7,50,54.8,45.2,4,5,9,5,1,0,0,0,"https://www.skysports.com/football/west-ham-united-vs-brentford/464813"
"224",224,"30th December 2022","2022-12-30",2022,12,30,"Fri","8:00pm","0-01-01 20:00:00",20,0,"liverpool","leicester-city","Anfield",53343,5,2,18,1,57,43,21,7,5,2,10,3,6,2,84.4,78.6,3,3,4,5,2,5,66.7,35.7,46.7,53.3,1,5,8,15,0,1,0,0,"https://www.skysports.com/football/liverpool-vs-leicester-city/464808"
"225",225,"28th December 2022","2022-12-28",2022,12,28,"Wed","8:00pm","0-01-01 20:00:00",20,0,"leeds-united","manchester-city","Elland Road",36889,19,1,1,3,31,69,9,26,1,9,4,12,4,5,73.3,87.5,0,6,3,5,0,1,46.2,53.8,41.7,58.3,6,0,11,14,3,3,0,0,"https://www.skysports.com/football/leeds-united-vs-manchester-city/464801"
"226",226,"27th December 2022","2022-12-27",2022,12,27,"Tue","5:30pm","0-01-01 17:30:00",17,30,"chelsea","bournemouth","Stamford Bridge",40046,12,2,15,0,60.3,39.7,15,9,5,4,7,4,3,1,88.3,81.2,2,0,6,8,3,0,58.8,64.7,42.1,57.9,4,3,8,10,0,0,0,0,"https://www.skysports.com/football/chelsea-vs-bournemouth/464798"
"227",227,"27th December 2022","2022-12-27",2022,12,27,"Tue","8:00pm","0-01-01 20:00:00",20,0,"manchester-united","nottingham-forest","Old Trafford",73608,3,3,16,0,65.8,34.2,17,8,8,3,3,3,6,2,87,71.3,3,0,9,9,1,2,50,64.7,53.8,46.2,3,5,13,4,3,1,0,0,"https://www.skysports.com/football/manchester-united-vs-nottingham-forest/464803"
"228",228,"26th December 2022","2022-12-26",2022,12,26,"Mon","12:30pm","0-01-01 12:30:00",12,30,"brentford","tottenham-hotspur","Gtech Community Stadium",17137,9,2,8,2,39.1,60.9,9,15,5,8,3,2,1,5,63.6,81.8,2,0,6,5,1,5,25,44.4,33.3,66.7,6,3,11,10,3,1,0,0,"https://www.skysports.com/football/brentford-vs-tottenham-hotspur/464797"
"229",229,"26th December 2022","2022-12-26",2022,12,26,"Mon","3:00pm","0-01-01 15:00:00",15,0,"crystal-palace","fulham","Selhurst Park",25176,11,0,10,3,36.2,63.8,4,23,0,11,3,6,1,6,74.5,85.8,0,2,1,8,1,2,73.3,56.3,28.6,71.4,7,0,12,15,0,0,2,0,"https://www.skysports.com/football/crystal-palace-vs-fulham/464799"
"230",230,"26th December 2022","2022-12-26",2022,12,26,"Mon","3:00pm","0-01-01 15:00:00",15,0,"everton","wolverhampton-wanderers","Goodison Park",39252,17,1,13,2,58.8,41.2,12,7,6,4,4,2,2,1,84.8,75.5,2,1,2,2,1,2,76.5,63.2,50,50,2,4,9,22,1,6,0,0,"https://www.skysports.com/football/everton-vs-wolverhampton-wanderers/464800"
"231",231,"26th December 2022","2022-12-26",2022,12,26,"Mon","3:00pm","0-01-01 15:00:00",15,0,"leicester-city","newcastle-united","The King Power Stadium",32185,18,0,4,3,60.1,39.9,8,12,2,5,2,4,4,3,82.1,74.2,0,2,5,5,3,1,66.7,58.3,36.7,63.3,2,2,9,6,0,0,0,0,"https://www.skysports.com/football/leicester-city-vs-newcastle-united/464802"
"232",232,"26th December 2022","2022-12-26",2022,12,26,"Mon","3:00pm","0-01-01 15:00:00",15,0,"southampton","brighton-and-hove-albion","St. Mary's Stadium",31010,20,1,6,3,33.6,66.4,14,7,4,4,7,2,3,1,77.2,86.8,0,1,4,2,0,1,62.5,38.1,45.2,54.8,2,3,9,10,1,2,0,0,"https://www.skysports.com/football/southampton-vs-brighton-and-hove-albion/464804"
"233",233,"26th December 2022","2022-12-26",2022,12,26,"Mon","5:30pm","0-01-01 17:30:00",17,30,"aston-villa","liverpool","Villa Park",42085,7,1,5,3,48.1,51.9,12,16,6,9,3,6,3,1,80.9,81.7,3,5,0,6,3,3,25,36.8,42.9,57.1,6,5,7,12,0,0,0,0,"https://www.skysports.com/football/aston-villa-vs-liverpool/464796"
"234",234,"26th December 2022","2022-12-26",2022,12,26,"Mon","8:00pm","0-01-01 20:00:00",20,0,"arsenal","west-ham-united","Emirates Stadium",60125,2,3,14,1,66.5,33.5,16,8,5,4,6,4,5,0,89.5,75.5,3,0,7,5,3,0,66.7,50,48.4,51.6,3,2,13,17,0,2,0,0,"https://www.skysports.com/football/arsenal-vs-west-ham-united/464795"
"235",235,"13th November 2022","2022-11-13",2022,11,13,"Sun","2:00pm","0-01-01 14:00:00",14,0,"brighton-and-hove-albion","aston-villa","Amex Stadium",31581,6,1,7,2,65.1,34.9,7,8,2,2,1,3,4,3,86.3,72,1,0,11,4,3,1,42.9,52.2,55.6,44.4,0,1,14,11,2,7,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-aston-villa/464786"
"236",236,"13th November 2022","2022-11-13",2022,11,13,"Sun","4:30pm","0-01-01 16:30:00",16,30,"fulham","manchester-united","Craven Cottage",24246,10,1,3,2,52.7,47.3,14,14,7,9,5,3,2,2,79.4,79.4,1,6,10,3,1,2,44.4,58.3,39.3,60.7,8,6,9,10,1,1,0,0,"https://www.skysports.com/football/fulham-vs-manchester-united/464787"
"237",237,"12th November 2022","2022-11-12",2022,11,12,"Sat","12:30pm","0-01-01 12:30:00",12,30,"manchester-city","brentford","Etihad Stadium",52786,1,1,9,2,74.6,25.4,29,10,6,8,9,1,14,1,85.2,56.9,1,5,10,2,2,2,77.8,27.3,52.4,47.6,5,5,9,7,2,2,0,0,"https://www.skysports.com/football/manchester-city-vs-brentford/464789"
"238",238,"12th November 2022","2022-11-12",2022,11,12,"Sat","3:00pm","0-01-01 15:00:00",15,0,"bournemouth","everton","Vitality Stadium",10382,15,3,17,0,35.8,64.2,16,15,9,3,4,6,3,6,73.1,85.6,2,1,3,5,1,1,66.7,50,56.7,43.3,3,5,12,8,2,0,0,0,"https://www.skysports.com/football/bournemouth-vs-everton/464785"
"239",239,"12th November 2022","2022-11-12",2022,11,12,"Sat","3:00pm","0-01-01 15:00:00",15,0,"liverpool","southampton","Anfield",53331,5,3,20,1,59.9,40.1,15,9,7,5,6,3,2,1,86.3,80,6,3,6,0,0,2,41.7,50,55,45,4,4,8,8,0,2,0,0,"https://www.skysports.com/football/liverpool-vs-southampton/464788"
"240",240,"12th November 2022","2022-11-12",2022,11,12,"Sat","3:00pm","0-01-01 15:00:00",15,0,"nottingham-forest","crystal-palace","The City Ground",29045,16,1,11,0,31.5,68.5,9,8,2,0,6,7,1,1,71.5,87,0,0,1,5,3,0,57.1,54.5,39.1,60.9,0,1,11,13,1,4,0,0,"https://www.skysports.com/football/nottingham-forest-vs-crystal-palace/464791"
"241",241,"12th November 2022","2022-11-12",2022,11,12,"Sat","3:00pm","0-01-01 15:00:00",15,0,"tottenham-hotspur","leeds-united","Tottenham Hotspur Stadium",61667,8,4,19,3,54.7,45.3,14,12,8,5,3,2,3,5,82.6,78.9,4,4,9,2,0,1,66.7,52.6,51.9,48.1,2,3,8,7,1,1,0,1,"https://www.skysports.com/football/tottenham-hotspur-vs-leeds-united/464792"
"242",242,"12th November 2022","2022-11-12",2022,11,12,"Sat","3:00pm","0-01-01 15:00:00",15,0,"west-ham-united","leicester-city","London Stadium",62459,14,0,18,2,53.6,46.4,18,9,6,6,9,2,3,1,77.4,78.2,0,1,7,2,2,0,66.7,47.4,63.6,36.4,4,6,9,8,3,1,0,0,"https://www.skysports.com/football/west-ham-united-vs-leicester-city/464793"
"243",243,"12th November 2022","2022-11-12",2022,11,12,"Sat","5:30pm","0-01-01 17:30:00",17,30,"newcastle-united","chelsea","St James' Park, Newcastle",52264,4,1,12,0,48.9,51.1,10,5,3,2,3,2,4,1,82.7,84.1,2,0,5,3,3,0,65.2,65.2,72.7,27.3,2,2,14,11,5,2,0,0,"https://www.skysports.com/football/newcastle-united-vs-chelsea/464790"
"244",244,"12th November 2022","2022-11-12",2022,11,12,"Sat","7:45pm","0-01-01 19:45:00",19,45,"wolverhampton-wanderers","arsenal","Molineux",34624,13,0,2,2,37.4,62.6,11,14,2,4,6,7,3,3,79.6,89.3,0,1,6,4,3,1,52.9,50,69,31,1,2,5,6,3,2,0,0,"https://www.skysports.com/football/wolverhampton-wanderers-vs-arsenal/464794"
"245",245,"6th November 2022","2022-11-06",2022,11,6,"Sun","12:00pm","0-01-01 12:00:00",12,0,"chelsea","arsenal","Stamford Bridge",40142,12,0,2,1,44.3,55.7,5,14,1,2,1,9,3,3,73.1,82.1,0,2,4,6,3,0,54.2,58.8,56.7,43.3,1,1,19,13,5,2,0,0,"https://www.skysports.com/football/chelsea-vs-arsenal/464776"
"246",246,"6th November 2022","2022-11-06",2022,11,6,"Sun","2:00pm","0-01-01 14:00:00",14,0,"aston-villa","manchester-united","Villa Park",42058,7,3,3,1,41.8,58.2,6,8,4,3,2,2,0,3,83.5,85.3,1,0,3,5,0,3,31.3,66.7,50,50,3,1,6,12,3,3,0,0,"https://www.skysports.com/football/aston-villa-vs-manchester-united/464775"
"247",247,"6th November 2022","2022-11-06",2022,11,6,"Sun","2:00pm","0-01-01 14:00:00",14,0,"southampton","newcastle-united","St. Mary's Stadium",30402,20,1,4,4,55.2,44.8,16,7,5,4,6,2,5,1,78.2,67.6,2,2,8,2,4,1,71.4,60,47.1,52.9,0,4,7,10,1,0,0,0,"https://www.skysports.com/football/southampton-vs-newcastle-united/464781"
"248",248,"6th November 2022","2022-11-06",2022,11,6,"Sun","2:00pm","0-01-01 14:00:00",14,0,"west-ham-united","crystal-palace","London Stadium",62451,14,1,11,2,42,58,5,15,2,6,3,2,0,7,80.4,87.1,0,1,2,5,4,0,56.3,69.2,54.5,45.5,5,1,10,7,1,1,0,0,"https://www.skysports.com/football/west-ham-united-vs-crystal-palace/464783"
"249",249,"6th November 2022","2022-11-06",2022,11,6,"Sun","4:30pm","0-01-01 16:30:00",16,30,"tottenham-hotspur","liverpool","Tottenham Hotspur Stadium",62008,8,1,5,2,46.6,53.4,14,13,5,6,6,3,3,4,82.6,83.6,3,1,5,3,1,2,73.3,50,53.8,46.2,4,4,10,8,0,0,0,0,"https://www.skysports.com/football/tottenham-hotspur-vs-liverpool/464782"
"250",250,"5th November 2022","2022-11-05",2022,11,5,"Sat","3:00pm","0-01-01 15:00:00",15,0,"leeds-united","bournemouth","Elland Road",36304,19,4,15,3,60.9,39.1,18,9,4,6,6,2,8,1,81.7,73,1,2,13,3,0,0,65.4,73.3,65.8,34.2,2,0,16,10,2,2,0,0,"https://www.skysports.com/football/leeds-united-vs-bournemouth/464778"
"251",251,"5th November 2022","2022-11-05",2022,11,5,"Sat","3:00pm","0-01-01 15:00:00",15,0,"manchester-city","fulham","Etihad Stadium",52395,1,2,10,1,70.6,29.4,16,4,5,2,5,1,6,1,91.1,79.3,3,0,9,0,3,0,12.5,73.3,54.5,45.5,1,3,6,11,2,4,1,0,"https://www.skysports.com/football/manchester-city-vs-fulham/464779"
"252",252,"5th November 2022","2022-11-05",2022,11,5,"Sat","3:00pm","0-01-01 15:00:00",15,0,"nottingham-forest","brentford","The City Ground",28869,16,2,9,2,47.2,52.8,15,6,7,2,6,3,2,1,75.7,76.9,2,1,3,3,0,2,61.1,75,53.3,46.7,0,5,10,11,2,2,0,0,"https://www.skysports.com/football/nottingham-forest-vs-brentford/464780"
