"","X","date","date_cleaned","year","month","day","day_of_week","match_start_time","match_start_time_cleaned","match_start_hour","match_start_minute","home_team","away_team","stadium","attendance","home_team_league_rank","home_goals","away_team_league_rank","away_goals","home_possessions","away_possessions","home_shots","away_shots","home_on","away_on","home_off","away_off","home_blocked","away_blocked","home_pass","away_pass","home_chances","away_chances","home_corners","away_corners","home_offside","away_offside","home_tackles","away_tackles","home_duels","away_duels","home_saves","away_saves","home_fouls","away_fouls","home_yellow","away_yellow","home_red","away_red","links"
"1",1,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"arsenal","wolverhampton-wanderers","Emirates Stadium",60095,2,5,13,0,51,49,14,6,8,0,4,4,2,2,89,88,3,0,8,4,1,0,82.4,44.4,47.8,52.2,0,3,8,11,0,0,0,0,"https://www.skysports.com/football/arsenal-vs-wolverhampton-wanderers/465005"
"2",2,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"aston-villa","brighton-and-hove-albion","Villa Park",42212,7,2,6,1,40.3,59.7,12,8,5,4,5,3,2,1,75.3,83.6,4,3,4,3,0,6,42.9,15.4,52.2,47.8,3,3,15,16,4,4,0,0,"https://www.skysports.com/football/aston-villa-vs-brighton-and-hove-albion/465006"
"3",3,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"brentford","manchester-city","Gtech Community Stadium",17120,9,1,1,0,34.4,65.6,11,17,4,3,4,6,3,8,79.3,89.8,2,1,3,4,3,0,64.7,35.7,50,50,2,3,12,8,4,0,0,0,"https://www.skysports.com/football/brentford-vs-manchester-city/465007"
"4",4,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"chelsea","newcastle-united","Stamford Bridge",40130,12,1,4,1,64.4,35.6,22,13,5,4,9,5,8,4,88.9,83.3,2,2,10,3,2,1,42.9,42.9,54.5,45.5,3,5,9,11,0,0,0,0,"https://www.skysports.com/football/chelsea-vs-newcastle-united/465008"
"5",5,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"crystal-palace","nottingham-forest","Selhurst Park",25198,11,1,16,1,66,34,15,7,3,4,8,2,4,1,85.7,69.9,1,0,5,4,2,2,40,52.6,58.3,41.7,3,2,9,13,0,2,0,0,"https://www.skysports.com/football/crystal-palace-vs-nottingham-forest/465009"
"6",6,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"everton","bournemouth","Goodison Park",39201,17,1,15,0,37.8,62.2,13,7,6,2,5,3,2,2,73.1,83.9,0,0,9,3,0,1,50,58.3,53.8,46.2,1,5,11,12,1,3,0,0,"https://www.skysports.com/football/everton-vs-bournemouth/465010"
"7",7,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"leeds-united","tottenham-hotspur","Elland Road",36871,19,1,8,4,52.1,47.9,19,11,2,7,7,3,10,1,77.3,78,1,3,12,3,1,1,54.5,46.2,54.5,45.5,3,1,8,5,3,0,0,0,"https://www.skysports.com/football/leeds-united-vs-tottenham-hotspur/465011"
"8",8,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"leicester-city","west-ham-united","The King Power Stadium",32183,18,2,14,1,48.2,51.8,13,16,4,3,6,9,3,4,87.8,88.7,2,1,3,5,2,3,63.6,58.8,68.8,31.3,2,2,8,10,1,1,0,0,"https://www.skysports.com/football/leicester-city-vs-west-ham-united/465012"
"9",9,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"manchester-united","fulham","Old Trafford",32183,3,2,10,1,53.2,46.8,21,10,8,3,7,6,6,1,84.2,84,4,2,5,4,1,1,78.9,66.7,46.4,53.6,2,6,14,10,1,2,0,0,"https://www.skysports.com/football/manchester-united-vs-fulham/465013"
"10",10,"28th May 2023","2023-05-28",2023,5,28,"Sun","4:30pm","0-01-01 16:30:00",16,30,"southampton","liverpool","St. Mary's Stadium",31129,20,4,5,4,30.9,69.1,15,30,10,8,5,11,0,11,74.5,86.9,1,5,2,9,0,0,71.4,75,54.5,45.5,4,6,4,10,0,2,0,0,"https://www.skysports.com/football/southampton-vs-liverpool/465014"
"11",11,"25th May 2023","2023-05-25",2023,5,25,"Thu","8:00pm","0-01-01 20:00:00",20,0,"manchester-united","chelsea","Old Trafford",73561,3,4,12,1,41.1,58.9,18,14,9,5,4,5,5,4,84,90.4,4,3,3,4,0,0,52.6,61.9,33.3,66.7,4,5,12,6,1,1,0,0,"https://www.skysports.com/football/manchester-united-vs-chelsea/464953"
"12",12,"24th May 2023","2023-05-24",2023,5,24,"Wed","8:00pm","0-01-01 20:00:00",20,0,"brighton-and-hove-albion","manchester-city","Amex Stadium",31388,6,1,1,1,39.6,60.4,20,13,7,4,6,6,7,3,84.2,89,2,3,5,1,2,0,50,33.3,42.9,57.1,3,6,16,11,2,1,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-city/464948"
"13",13,"22nd May 2023","2023-05-22",2023,5,22,"Mon","8:00pm","0-01-01 20:00:00",20,0,"newcastle-united","leicester-city","St James' Park, Newcastle",52152,4,0,18,0,77.6,22.4,23,1,4,1,13,0,6,0,89.5,58.9,1,0,12,1,1,0,33.3,47.1,59.4,40.6,1,3,9,5,2,0,0,0,"https://www.skysports.com/football/newcastle-united-vs-leicester-city/465000"
"14",14,"21st May 2023","2023-05-21",2023,5,21,"Sun","1:30pm","0-01-01 13:30:00",13,30,"west-ham-united","leeds-united","London Stadium",62478,14,3,19,1,58.8,41.2,19,12,9,3,4,6,6,3,80.9,72.9,4,0,9,5,1,1,72.7,60.9,73.9,26.1,2,6,6,11,1,3,0,0,"https://www.skysports.com/football/west-ham-united-vs-leeds-united/465003"
"15",15,"21st May 2023","2023-05-21",2023,5,21,"Sun","2:00pm","0-01-01 14:00:00",14,0,"brighton-and-hove-albion","southampton","Amex Stadium",31507,6,3,20,1,63,37,26,5,8,1,11,3,7,1,91.7,79.6,1,1,4,3,1,1,69.2,62.5,73.3,26.7,0,5,8,9,2,5,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-southampton/464996"
"16",16,"21st May 2023","2023-05-21",2023,5,21,"Sun","4:00pm","0-01-01 16:00:00",16,0,"manchester-city","chelsea","Etihad Stadium",53490,1,1,12,0,64.6,35.4,15,13,2,6,7,4,6,3,91.5,86.8,2,2,5,2,2,2,75,70.6,44.4,55.6,6,1,12,9,0,2,0,0,"https://www.skysports.com/football/manchester-city-vs-chelsea/464999"
"17",17,"20th May 2023","2023-05-20",2023,5,20,"Sat","12:30pm","0-01-01 12:30:00",12,30,"tottenham-hotspur","brentford","Tottenham Hotspur Stadium",61514,8,1,9,3,61.8,38.2,22,11,8,4,6,6,8,1,86.2,77.7,2,2,8,2,1,1,50,54.5,59.1,40.9,1,6,11,9,1,1,0,0,"https://www.skysports.com/football/tottenham-hotspur-vs-brentford/465002"
"18",18,"20th May 2023","2023-05-20",2023,5,20,"Sat","3:00pm","0-01-01 15:00:00",15,0,"bournemouth","manchester-united","Vitality Stadium",10240,15,0,3,1,41.5,58.5,10,20,4,5,3,8,3,7,85.4,85.6,1,0,3,6,0,2,58.3,73.1,35,65,4,4,6,7,1,0,0,0,"https://www.skysports.com/football/bournemouth-vs-manchester-united/464995"
"19",19,"20th May 2023","2023-05-20",2023,5,20,"Sat","3:00pm","0-01-01 15:00:00",15,0,"fulham","crystal-palace","Craven Cottage",24356,10,2,11,2,49.5,50.5,11,11,4,5,3,3,4,3,75.3,78.4,2,1,7,4,2,2,43.8,33.3,52,48,3,2,13,12,3,0,0,0,"https://www.skysports.com/football/fulham-vs-crystal-palace/464997"
"20",20,"20th May 2023","2023-05-20",2023,5,20,"Sat","3:00pm","0-01-01 15:00:00",15,0,"liverpool","aston-villa","Anfield",53306,5,1,7,1,66.3,33.7,10,6,5,3,1,2,4,1,84.3,66.7,1,2,9,4,4,1,61.1,51.7,65,35,2,4,16,13,3,5,0,0,"https://www.skysports.com/football/liverpool-vs-aston-villa/464998"
"21",21,"20th May 2023","2023-05-20",2023,5,20,"Sat","3:00pm","0-01-01 15:00:00",15,0,"wolverhampton-wanderers","everton","Molineux",31684,13,1,17,1,53.2,46.8,13,19,5,4,6,9,2,6,78.7,75.9,0,3,1,7,1,0,41.7,52.6,37.5,62.5,3,4,18,10,5,1,0,0,"https://www.skysports.com/football/wolverhampton-wanderers-vs-everton/465004"
"22",22,"20th May 2023","2023-05-20",2023,5,20,"Sat","5:30pm","0-01-01 17:30:00",17,30,"nottingham-forest","arsenal","The City Ground",29514,16,1,2,0,18.3,81.7,6,11,2,3,3,7,1,1,49.7,89,0,0,3,6,1,1,66.7,37.5,25,75,3,1,11,12,3,2,0,0,"https://www.skysports.com/football/nottingham-forest-vs-arsenal/465001"
"23",23,"18th May 2023","2023-05-18",2023,5,18,"Thu","7:30pm","0-01-01 19:30:00",19,30,"newcastle-united","brighton-and-hove-albion","St James' Park, Newcastle",52122,4,4,6,1,33.7,66.3,22,8,9,2,6,3,7,3,70.9,84.1,5,1,6,1,1,2,90.9,71.4,68.2,31.8,1,5,17,16,2,4,0,0,"https://www.skysports.com/football/newcastle-united-vs-brighton-and-hove-albion/464882"
"24",24,"15th May 2023","2023-05-15",2023,5,15,"Mon","8:00pm","0-01-01 20:00:00",20,0,"leicester-city","liverpool","The King Power Stadium",32225,18,0,5,3,33.1,66.9,4,16,4,5,0,6,0,5,69.5,85.3,1,3,4,4,3,4,47.2,66.7,52.2,47.8,2,4,11,17,2,1,0,0,"https://www.skysports.com/football/leicester-city-vs-liverpool/464992"
"25",25,"14th May 2023","2023-05-14",2023,5,14,"Sun","2:00pm","0-01-01 14:00:00",14,0,"brentford","west-ham-united","Gtech Community Stadium",17075,9,2,14,0,53.1,46.9,24,4,10,4,9,0,5,0,81.2,79,5,0,7,5,3,3,55,81.8,48.6,51.4,4,7,5,5,1,0,0,0,"https://www.skysports.com/football/brentford-vs-west-ham-united/464987"
"26",26,"14th May 2023","2023-05-14",2023,5,14,"Sun","2:00pm","0-01-01 14:00:00",14,0,"everton","manchester-city","Goodison Park",39376,17,0,1,3,36.8,63.2,7,9,3,4,3,3,1,2,85,91,1,1,8,6,1,0,68.8,71.4,50,50,1,2,12,4,1,0,0,0,"https://www.skysports.com/football/everton-vs-manchester-city/464990"
"27",27,"14th May 2023","2023-05-14",2023,5,14,"Sun","4:30pm","0-01-01 16:30:00",16,30,"arsenal","brighton-and-hove-albion","Emirates Stadium",60139,2,0,6,3,40.9,59.1,14,12,2,6,8,5,4,1,76.7,83.4,1,2,5,2,1,4,30,60,42.1,57.9,3,2,13,17,1,2,0,0,"https://www.skysports.com/football/arsenal-vs-brighton-and-hove-albion/464985"
"28",28,"13th May 2023","2023-05-13",2023,5,13,"Sat","12:30pm","0-01-01 12:30:00",12,30,"leeds-united","newcastle-united","Elland Road",36955,19,2,4,2,36.1,63.9,9,18,4,5,3,7,2,6,64.4,80.8,0,0,2,6,0,2,52.2,57.1,37.9,62.1,3,2,16,14,3,2,1,0,"https://www.skysports.com/football/leeds-united-vs-newcastle-united/464991"
"29",29,"13th May 2023","2023-05-13",2023,5,13,"Sat","3:00pm","0-01-01 15:00:00",15,0,"aston-villa","tottenham-hotspur","Villa Park",42164,7,2,8,1,48.7,51.3,8,5,4,2,4,2,0,1,85,85.3,3,1,8,3,2,9,72.7,43.8,42.9,57.1,1,2,9,14,3,3,0,0,"https://www.skysports.com/football/aston-villa-vs-tottenham-hotspur/464986"
"30",30,"13th May 2023","2023-05-13",2023,5,13,"Sat","3:00pm","0-01-01 15:00:00",15,0,"chelsea","nottingham-forest","Stamford Bridge",40030,12,2,16,2,76.1,23.9,14,11,6,2,3,7,5,2,89.1,60.8,1,3,2,5,1,2,64.3,53.6,55.2,44.8,0,4,13,15,3,1,0,0,"https://www.skysports.com/football/chelsea-vs-nottingham-forest/464988"
"31",31,"13th May 2023","2023-05-13",2023,5,13,"Sat","3:00pm","0-01-01 15:00:00",15,0,"crystal-palace","bournemouth","Selhurst Park",25034,11,2,15,0,59.8,40.2,17,5,5,0,7,1,5,4,85.6,80.5,2,0,11,2,2,1,72.7,50,42.3,57.7,0,3,5,12,0,2,0,0,"https://www.skysports.com/football/crystal-palace-vs-bournemouth/464989"
"32",32,"13th May 2023","2023-05-13",2023,5,13,"Sat","3:00pm","0-01-01 15:00:00",15,0,"manchester-united","wolverhampton-wanderers","Old Trafford",73570,3,2,13,0,48,52,27,5,9,0,11,5,7,0,81.8,80.4,4,0,11,7,0,1,61.5,87.5,53.3,46.7,0,8,9,9,3,2,0,0,"https://www.skysports.com/football/manchester-united-vs-wolverhampton-wanderers/464993"
"33",33,"13th May 2023","2023-05-13",2023,5,13,"Sat","3:00pm","0-01-01 15:00:00",15,0,"southampton","fulham","St. Mary's Stadium",28978,20,0,10,2,35.6,64.4,5,9,1,4,2,1,2,4,77.9,87.5,0,2,1,8,4,1,56.3,50,63.6,36.4,1,1,17,12,2,0,0,0,"https://www.skysports.com/football/southampton-vs-fulham/464994"
"34",34,"8th May 2023","2023-05-08",2023,5,8,"Mon","3:00pm","0-01-01 15:00:00",15,0,"fulham","leicester-city","Craven Cottage",24442,10,5,18,3,57.1,42.9,17,18,7,9,5,4,5,5,82,76.8,2,2,2,7,1,4,63.6,57.1,64,36,6,2,13,15,0,3,0,0,"https://www.skysports.com/football/fulham-vs-leicester-city/464977"
"35",35,"8th May 2023","2023-05-08",2023,5,8,"Mon","5:30pm","0-01-01 17:30:00",17,30,"brighton-and-hove-albion","everton","Amex Stadium",31567,6,1,17,5,77.7,22.3,23,10,5,5,9,1,9,4,88.7,65.2,2,4,15,1,1,1,63.6,57.9,45.7,54.3,1,4,11,13,1,5,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-everton/464976"
"36",36,"8th May 2023","2023-05-08",2023,5,8,"Mon","8:00pm","0-01-01 20:00:00",20,0,"nottingham-forest","southampton","The City Ground",29154,16,4,20,3,35.9,64.1,9,19,4,5,3,9,2,5,69.6,83.4,1,4,2,11,3,1,40,66.7,60,40,2,0,16,10,1,0,0,0,"https://www.skysports.com/football/nottingham-forest-vs-southampton/464981"
"37",37,"7th May 2023","2023-05-07",2023,5,7,"Sun","4:30pm","0-01-01 16:30:00",16,30,"newcastle-united","arsenal","St James' Park, Newcastle",50267,4,0,2,2,54.3,45.7,12,10,5,6,4,2,3,2,79.7,79.2,2,2,9,4,0,1,50,78.3,58.6,41.4,5,5,16,12,2,1,0,0,"https://www.skysports.com/football/newcastle-united-vs-arsenal/464980"
"38",38,"7th May 2023","2023-05-07",2023,5,7,"Sun","7:00pm","0-01-01 19:00:00",19,0,"west-ham-united","manchester-united","London Stadium",62477,14,1,3,0,34.6,65.4,15,19,4,4,5,12,6,3,76.2,86.5,2,1,5,6,1,1,41.2,50,53.1,46.9,4,3,4,9,0,2,0,0,"https://www.skysports.com/football/west-ham-united-vs-manchester-united/464983"
"39",39,"6th May 2023","2023-05-06",2023,5,6,"Sat","3:00pm","0-01-01 15:00:00",15,0,"bournemouth","chelsea","Vitality Stadium",10357,15,1,12,3,34,66,10,11,4,5,4,5,2,1,75.4,88.2,1,2,7,7,1,0,56.3,91.7,50,50,2,3,9,11,1,3,0,0,"https://www.skysports.com/football/bournemouth-vs-chelsea/464975"
"40",40,"6th May 2023","2023-05-06",2023,5,6,"Sat","3:00pm","0-01-01 15:00:00",15,0,"manchester-city","leeds-united","Etihad Stadium",53406,1,2,19,1,80.9,19.1,18,4,6,2,10,1,2,1,91.1,59.7,2,0,10,1,4,3,71.4,50,52,48,1,4,3,16,0,3,0,0,"https://www.skysports.com/football/manchester-city-vs-leeds-united/464979"
"41",41,"6th May 2023","2023-05-06",2023,5,6,"Sat","3:00pm","0-01-01 15:00:00",15,0,"tottenham-hotspur","crystal-palace","Tottenham Hotspur Stadium",61093,8,1,11,0,57.5,42.5,8,7,3,2,3,3,2,2,84,75.4,3,0,8,4,1,0,46.2,73.3,63.3,36.7,2,2,15,14,3,5,0,0,"https://www.skysports.com/football/tottenham-hotspur-vs-crystal-palace/464982"
"42",42,"6th May 2023","2023-05-06",2023,5,6,"Sat","3:00pm","0-01-01 15:00:00",15,0,"wolverhampton-wanderers","aston-villa","Molineux",31641,13,1,7,0,38,62,6,16,2,3,2,6,2,7,73.5,85.9,1,2,5,6,3,2,69.2,70,32.1,67.9,3,1,20,9,3,3,0,0,"https://www.skysports.com/football/wolverhampton-wanderers-vs-aston-villa/464984"
"43",43,"6th May 2023","2023-05-06",2023,5,6,"Sat","5:30pm","0-01-01 17:30:00",17,30,"liverpool","brentford","Anfield",52838,5,1,9,0,53.9,46.1,15,5,5,1,6,3,4,1,81.5,74.8,2,0,7,3,1,2,55.6,54.5,50,50,2,4,19,10,4,2,0,0,"https://www.skysports.com/football/liverpool-vs-brentford/464978"
"44",44,"4th May 2023","2023-05-04",2023,5,4,"Thu","8:00pm","0-01-01 20:00:00",20,0,"brighton-and-hove-albion","manchester-united","Amex Stadium",31577,6,1,3,0,59.6,40.4,22,16,6,5,11,6,5,5,86.3,75.6,0,2,8,6,0,2,53.3,65,63.2,36.8,5,5,10,14,4,4,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-manchester-united/464908"
"45",45,"3rd May 2023","2023-05-03",2023,5,3,"Wed","8:00pm","0-01-01 20:00:00",20,0,"liverpool","fulham","Anfield",52602,5,1,10,0,57.1,42.9,15,9,3,3,9,3,3,3,85.2,83.9,1,1,7,5,3,2,57.1,53.3,66.7,33.3,3,2,10,8,0,0,0,0,"https://www.skysports.com/football/liverpool-vs-fulham/464910"
"46",46,"3rd May 2023","2023-05-03",2023,5,3,"Wed","8:00pm","0-01-01 20:00:00",20,0,"manchester-city","west-ham-united","Etihad Stadium",53305,1,3,14,0,68.9,31.1,16,6,7,2,7,3,2,1,90.7,78,6,1,6,3,1,0,56.3,66.7,41.7,58.3,2,4,8,8,0,1,0,0,"https://www.skysports.com/football/manchester-city-vs-west-ham-united/464911"
"47",47,"2nd May 2023","2023-05-02",2023,5,2,"Tue","8:00pm","0-01-01 20:00:00",20,0,"arsenal","chelsea","Emirates Stadium",60144,2,3,12,1,54.8,45.2,16,7,10,4,3,1,3,2,86.6,84.2,1,2,7,2,1,0,33.3,73.3,37.5,62.5,3,6,10,10,0,2,0,0,"https://www.skysports.com/football/arsenal-vs-chelsea/464965"
"48",48,"1st May 2023","2023-05-01",2023,5,1,"Mon","8:00pm","0-01-01 20:00:00",20,0,"leicester-city","everton","The King Power Stadium",32173,18,2,17,2,55.3,44.7,15,23,6,8,4,9,5,6,74.1,72.1,3,1,2,9,6,3,52.6,60,47.6,52.4,6,3,10,12,4,1,0,0,"https://www.skysports.com/football/leicester-city-vs-everton/464971"
"49",49,"30th April 2023","2023-04-30",2023,4,30,"Sun","2:00pm","0-01-01 14:00:00",14,0,"bournemouth","leeds-united","Vitality Stadium",10434,15,4,19,1,42.1,57.9,12,15,7,6,2,7,3,2,73,80.4,2,1,2,6,2,1,50,42.1,34.3,65.7,5,3,12,14,1,0,0,0,"https://www.skysports.com/football/bournemouth-vs-leeds-united/464966"
"50",50,"30th April 2023","2023-04-30",2023,4,30,"Sun","2:00pm","0-01-01 14:00:00",14,0,"fulham","manchester-city","Craven Cottage",24498,10,1,1,2,37.4,62.6,4,12,1,9,1,3,2,0,81.3,87,1,1,2,5,3,1,63.6,71.4,46.9,53.1,7,0,9,10,1,3,0,0,"https://www.skysports.com/football/fulham-vs-manchester-city/464970"
"51",51,"30th April 2023","2023-04-30",2023,4,30,"Sun","2:00pm","0-01-01 14:00:00",14,0,"manchester-united","aston-villa","Old Trafford",73592,3,1,7,0,57.1,42.9,14,7,6,1,6,2,2,4,84.9,78.1,1,0,1,4,7,3,78.6,46.7,50,50,1,5,16,7,2,0,0,0,"https://www.skysports.com/football/manchester-united-vs-aston-villa/464973"
"52",52,"30th April 2023","2023-04-30",2023,4,30,"Sun","2:00pm","0-01-01 14:00:00",14,0,"newcastle-united","southampton","St James' Park, Newcastle",52234,4,3,20,1,63.4,36.6,22,4,5,3,9,1,8,0,81.9,69.8,3,1,11,2,1,2,41.2,69.6,75,25,2,3,7,10,1,4,0,0,"https://www.skysports.com/football/newcastle-united-vs-southampton/464974"
"53",53,"30th April 2023","2023-04-30",2023,4,30,"Sun","4:30pm","0-01-01 16:30:00",16,30,"liverpool","tottenham-hotspur","Anfield",53275,5,4,8,3,67.6,32.4,12,10,4,7,4,3,4,0,88.3,73.7,2,4,5,2,0,5,68.8,62.5,74.1,25.9,3,0,12,6,3,2,0,0,"https://www.skysports.com/football/liverpool-vs-tottenham-hotspur/464972"
"54",54,"29th April 2023","2023-04-29",2023,4,29,"Sat","12:30pm","0-01-01 12:30:00",12,30,"crystal-palace","west-ham-united","Selhurst Park",25148,11,4,14,3,59.9,40.1,16,8,6,4,4,3,6,1,78.7,65.6,0,1,8,5,1,1,61.9,65.2,57.4,42.6,1,2,9,17,1,2,0,0,"https://www.skysports.com/football/crystal-palace-vs-west-ham-united/464969"
"55",55,"29th April 2023","2023-04-29",2023,4,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"brentford","nottingham-forest","Gtech Community Stadium",17080,9,2,16,1,68.9,31.1,14,5,8,3,3,1,3,1,84.7,68.2,0,1,6,0,1,1,55.6,61.9,48.9,51.1,2,6,6,13,1,2,0,0,"https://www.skysports.com/football/brentford-vs-nottingham-forest/464967"
"56",56,"29th April 2023","2023-04-29",2023,4,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"brighton-and-hove-albion","wolverhampton-wanderers","Amex Stadium",31584,6,6,13,0,57.2,42.8,22,10,8,2,7,5,7,3,88.2,81.4,4,0,2,5,2,0,60,56.3,90,10,2,2,14,11,1,1,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-wolverhampton-wanderers/464968"
"57",57,"27th April 2023","2023-04-27",2023,4,27,"Thu","7:45pm","0-01-01 19:45:00",19,45,"everton","newcastle-united","Goodison Park",39248,17,1,4,4,39.6,60.4,13,15,5,8,5,3,3,4,65.3,74.8,0,1,3,14,3,1,50,50,55,45,3,4,8,6,2,1,0,0,"https://www.skysports.com/football/everton-vs-newcastle-united/464956"
"58",58,"27th April 2023","2023-04-27",2023,4,27,"Thu","7:45pm","0-01-01 19:45:00",19,45,"southampton","bournemouth","St. Mary's Stadium",30414,20,0,15,1,56.5,43.5,11,16,2,2,6,4,3,10,82,78.4,0,0,6,4,4,2,78.9,57.1,45.5,54.5,1,2,9,11,0,3,0,0,"https://www.skysports.com/football/southampton-vs-bournemouth/464964"
"59",59,"27th April 2023","2023-04-27",2023,4,27,"Thu","8:15pm","0-01-01 20:15:00",20,15,"tottenham-hotspur","manchester-united","Tottenham Hotspur Stadium",61586,8,2,3,2,39.9,60.1,18,17,7,8,7,5,4,4,81.4,86.3,4,3,6,8,2,3,68.4,81.3,52.2,47.8,5,5,8,7,1,2,0,0,"https://www.skysports.com/football/tottenham-hotspur-vs-manchester-united/464959"
"60",60,"26th April 2023","2023-04-26",2023,4,26,"Wed","7:30pm","0-01-01 19:30:00",19,30,"nottingham-forest","brighton-and-hove-albion","The City Ground",28808,16,3,6,1,24.8,75.2,12,17,5,7,5,6,2,4,66.8,86.5,1,2,2,7,1,2,61.1,64.3,47.4,52.6,6,3,7,8,2,0,0,0,"https://www.skysports.com/football/nottingham-forest-vs-brighton-and-hove-albion/464958"
"61",61,"26th April 2023","2023-04-26",2023,4,26,"Wed","7:45pm","0-01-01 19:45:00",19,45,"chelsea","brentford","Stamford Bridge",39929,12,0,9,2,72.9,27.1,15,7,4,1,8,5,3,1,88.2,65.8,1,0,5,2,0,2,50,46.2,55.9,44.1,0,4,5,13,1,2,0,0,"https://www.skysports.com/football/chelsea-vs-brentford/464962"
"62",62,"26th April 2023","2023-04-26",2023,4,26,"Wed","7:45pm","0-01-01 19:45:00",19,45,"west-ham-united","liverpool","London Stadium",62473,14,1,5,2,27.4,72.6,7,20,2,4,4,9,1,7,69.8,87.4,0,3,3,6,1,1,84.6,55,36.4,63.6,2,1,6,8,0,0,0,0,"https://www.skysports.com/football/west-ham-united-vs-liverpool/464960"
"63",63,"26th April 2023","2023-04-26",2023,4,26,"Wed","8:00pm","0-01-01 20:00:00",20,0,"manchester-city","arsenal","Etihad Stadium",53482,1,4,2,1,51.9,48.1,14,8,9,2,3,3,2,3,85.1,84.7,4,0,1,3,0,1,72.7,40,55.6,44.4,1,5,13,13,3,1,0,0,"https://www.skysports.com/football/manchester-city-vs-arsenal/464963"
"64",64,"25th April 2023","2023-04-25",2023,4,25,"Tue","7:30pm","0-01-01 19:30:00",19,30,"wolverhampton-wanderers","crystal-palace","Molineux",30792,13,2,11,0,41.2,58.8,9,14,3,4,4,4,2,6,73.8,81.6,0,0,6,11,2,1,38.1,54.5,55.9,44.1,4,2,13,14,5,4,0,0,"https://www.skysports.com/football/wolverhampton-wanderers-vs-crystal-palace/464961"
"65",65,"25th April 2023","2023-04-25",2023,4,25,"Tue","7:45pm","0-01-01 19:45:00",19,45,"aston-villa","fulham","Villa Park",41046,7,1,10,0,51.8,48.2,14,1,3,0,4,1,7,0,83.7,81.3,0,0,8,2,0,5,63.6,38.1,65.2,34.8,0,2,6,18,3,2,0,0,"https://www.skysports.com/football/aston-villa-vs-fulham/464955"
"66",66,"25th April 2023","2023-04-25",2023,4,25,"Tue","8:00pm","0-01-01 20:00:00",20,0,"leeds-united","leicester-city","Elland Road",36666,19,1,18,1,40.8,59.2,13,15,3,3,6,6,4,6,64.2,73,3,3,3,6,4,6,50,61.9,47.1,52.9,2,2,14,15,4,2,0,0,"https://www.skysports.com/football/leeds-united-vs-leicester-city/464957"
"67",67,"23rd April 2023","2023-04-23",2023,4,23,"Sun","2:00pm","0-01-01 14:00:00",14,0,"bournemouth","west-ham-united","Vitality Stadium",10465,15,0,14,4,64.6,35.4,17,18,5,10,7,4,5,4,87.1,77.7,1,3,8,5,0,3,63.6,52.9,48.4,51.6,6,5,7,8,1,2,0,0,"https://www.skysports.com/football/bournemouth-vs-west-ham-united/464946"
"68",68,"23rd April 2023","2023-04-23",2023,4,23,"Sun","2:00pm","0-01-01 14:00:00",14,0,"newcastle-united","tottenham-hotspur","St James' Park, Newcastle",52252,4,6,8,1,57,43,25,11,8,3,5,5,12,3,86.4,79.1,5,1,9,3,2,0,53.8,64.7,71.4,28.6,2,2,7,13,0,3,0,0,"https://www.skysports.com/football/newcastle-united-vs-tottenham-hotspur/464954"
"69",69,"22nd April 2023","2023-04-22",2023,4,22,"Sat","12:30pm","0-01-01 12:30:00",12,30,"fulham","leeds-united","Craven Cottage",24356,10,2,19,1,49.3,50.7,12,10,5,2,3,4,4,4,74.9,72.4,0,0,8,6,5,2,57.9,50,42.1,57.9,2,3,10,15,1,4,0,0,"https://www.skysports.com/football/fulham-vs-leeds-united/464950"
"70",70,"22nd April 2023","2023-04-22",2023,4,22,"Sat","3:00pm","0-01-01 15:00:00",15,0,"brentford","aston-villa","Gtech Community Stadium",17098,9,1,7,1,42.5,57.5,16,14,5,2,6,11,5,1,68.2,78.9,3,3,8,4,6,3,37.5,33.3,58.1,41.9,1,4,12,8,3,2,0,0,"https://www.skysports.com/football/brentford-vs-aston-villa/464947"
